Glucose_Volume,Water_Volume,Culture_Volume,Col,Row,Glucose_Solution_Conc,Glucose_Added,Final_Glucose_Conc,MaxOD
0.8,4.2,5,1,1,0.025,0.02,0.0008,0.195
0.5,4.5,5,2,1,0.025,0.0125,0.0005,0.15
2,3,5,3,1,0.025,0.05,0.002,0.358
2.1,2.9,5,4,1,0.025,0.0525,0.0021,0.375
0,5,5,5,1,0.025,0,0,0.099
4,1,5,6,1,0.025,0.1,0.004,0.484
4.3,0.7,5,7,1,0.025,0.1075,0.0043,0.477
2.5,2.5,5,8,1,0.025,0.0625,0.0025,0.405
5,0,5,9,1,0.025,0.125,0.005,0.48
4.8,0.2,5,10,1,0.025,0.12,0.0048,0.493
0.1,4.9,5,11,1,0.025,0.0025,0.0001,0.107
0,5,5,12,1,0.025,0,0,0.094
3.1,1.9,5,13,1,0.025,0.0775,0.0031,0.45
5,0,5,14,1,0.025,0.125,0.005,0.522
0.4,4.6,5,15,1,0.025,0.01,0.0004,0.143
1,4,5,16,1,0.025,0.025,0.001,0.203
3.8,1.2,5,17,1,0.025,0.095,0.0038,0.501
1.2,3.8,5,18,1,0.025,0.03,0.0012,0.286
3,2,5,19,1,0.025,0.075,0.003,0.502
1.5,3.5,5,20,1,0.025,0.0375,0.0015,0.362
4.7,0.3,5,21,1,0.025,0.1175,0.0047,0.575
1.9,3.1,5,22,1,0.025,0.0475,0.0019,0.41
1.7,3.3,5,23,1,0.025,0.0425,0.0017,0.371
2.3,2.7,5,24,1,0.025,0.0575,0.0023,0.448
3.5,1.5,5,1,2,0.025,0.0875,0.0035,0.425
5,0,5,2,2,0.025,0.125,0.005,0.459
1.6,3.4,5,3,2,0.025,0.04,0.0016,0.287
0.4,4.6,5,4,2,0.025,0.01,0.0004,0.144
3.4,1.6,5,5,2,0.025,0.085,0.0034,0.475
3.8,1.2,5,6,2,0.025,0.095,0.0038,0.463
1.2,3.8,5,7,2,0.025,0.03,0.0012,0.253
3,2,5,8,2,0.025,0.075,0.003,0.425
2.8,2.2,5,9,2,0.025,0.07,0.0028,0.428
4.7,0.3,5,10,2,0.025,0.1175,0.0047,0.48
1.9,3.1,5,11,2,0.025,0.0475,0.0019,0.355
3.5,1.5,5,12,2,0.025,0.0875,0.0035,0.505
2.3,2.7,5,13,2,0.025,0.0575,0.0023,0.387
1.6,3.4,5,14,2,0.025,0.04,0.0016,0.23
3.9,1.1,5,15,2,0.025,0.0975,0.0039,0.472
2.9,2.1,5,16,2,0.025,0.0725,0.0029,0.422
3.6,1.4,5,17,2,0.025,0.09,0.0036,0.469
0.7,4.3,5,18,2,0.025,0.0175,0.0007,0.176
5,0,5,19,2,0.025,0.125,0.005,0.563
0,5,5,20,2,0.025,0,0,0.093
2.4,2.6,5,21,2,0.025,0.06,0.0024,0.515
0.9,4.1,5,22,2,0.025,0.0225,0.0009,0.377
2.2,2.8,5,23,2,0.025,0.055,0.0022,0.431
3.7,1.3,5,24,2,0.025,0.0925,0.0037,0.531
1.7,3.3,5,1,3,0.025,0.0425,0.0017,0.311
3.1,1.9,5,2,3,0.025,0.0775,0.0031,0.488
4.3,0.7,5,3,3,0.025,0.1075,0.0043,0.498
5,0,5,4,3,0.025,0.125,0.005,0.483
1,4,5,5,3,0.025,0.025,0.001,0.216
3.6,1.4,5,6,3,0.025,0.09,0.0036,0.437
0,5,5,7,3,0.025,0,0,0.092
0.2,4.8,5,8,3,0.025,0.005,0.0002,0.124
1.5,3.5,5,9,3,0.025,0.0375,0.0015,0.287
2.4,2.6,5,10,3,0.025,0.06,0.0024,0.385
0.9,4.1,5,11,3,0.025,0.0225,0.0009,0.205
1.7,3.3,5,12,3,0.025,0.0425,0.0017,0.314
3.7,1.3,5,13,3,0.025,0.0925,0.0037,0.455
0.4,4.6,5,14,3,0.025,0.01,0.0004,0.145
0.6,4.4,5,15,3,0.025,0.015,0.0006,0.162
4.9,0.1,5,16,3,0.025,0.1225,0.0049,0.476
1.4,3.6,5,17,3,0.025,0.035,0.0014,0.291
4.8,0.2,5,18,3,0.025,0.12,0.0048,0.491
0.2,4.8,5,19,3,0.025,0.005,0.0002,0.15
3.3,1.7,5,20,3,0.025,0.0825,0.0033,0.594
0.3,4.7,5,21,3,0.025,0.0075,0.0003,0.288
4.2,0.8,5,22,3,0.025,0.105,0.0042,0.662
1.8,3.2,5,23,3,0.025,0.045,0.0018,0.376
0,5,5,24,3,0.025,0,0,0.097
2.2,2.8,5,1,4,0.025,0.055,0.0022,0.383
2.3,2.7,5,2,4,0.025,0.0575,0.0023,0.388
4.5,0.5,5,3,4,0.025,0.1125,0.0045,0.475
3.9,1.1,5,4,4,0.025,0.0975,0.0039,0.454
2.9,2.1,5,5,4,0.025,0.0725,0.0029,0.433
1.4,3.6,5,6,4,0.025,0.035,0.0014,0.269
0.7,4.3,5,7,4,0.025,0.0175,0.0007,0.174
1.1,3.9,5,8,4,0.025,0.0275,0.0011,0.235
3.3,1.7,5,9,4,0.025,0.0825,0.0033,0.435
5,0,5,10,4,0.025,0.125,0.005,0.471
4.2,0.8,5,11,4,0.025,0.105,0.0042,0.47
2.2,2.8,5,12,4,0.025,0.055,0.0022,0.371
4.1,0.9,5,13,4,0.025,0.1025,0.0041,0.592
4.5,0.5,5,14,4,0.025,0.1125,0.0045,0.288
5,0,5,15,4,0.025,0.125,0.005,0.489
0,5,5,16,4,0.025,0,0,0.156
4.4,0.6,5,17,4,0.025,0.11,0.0044,0.59
4.6,0.4,5,18,4,0.025,0.115,0.0046,0.612
1.1,3.9,5,19,4,0.025,0.0275,0.0011,0.423
2.7,2.3,5,20,4,0.025,0.0675,0.0027,0.54
2,3,5,21,4,0.025,0.05,0.002,0.52
2.1,2.9,5,22,4,0.025,0.0525,0.0021,0.433
3.4,1.6,5,23,4,0.025,0.085,0.0034,0.509
4.1,0.9,5,24,4,0.025,0.1025,0.0041,0.531
1.8,3.2,5,1,5,0.025,0.045,0.0018,0.325
3.7,1.3,5,2,5,0.025,0.0925,0.0037,0.497
0,5,5,3,5,0.025,0,0,0.128
0.6,4.4,5,4,5,0.025,0.015,0.0006,0.158
4.9,0.1,5,5,5,0.025,0.1225,0.0049,0.465
4.4,0.6,5,6,5,0.025,0.11,0.0044,0.469
4.8,0.2,5,7,5,0.025,0.12,0.0048,0.48
0.8,4.2,5,8,5,0.025,0.02,0.0008,0.278
2.7,2.3,5,9,5,0.025,0.0675,0.0027,0.511
0.3,4.7,5,10,5,0.025,0.0075,0.0003,0.281
2.1,2.9,5,11,5,0.025,0.0525,0.0021,0.489
1.8,3.2,5,12,5,0.025,0.045,0.0018,0.537
4,1,5,13,5,0.025,0.1,0.004,0.658
3.2,1.8,5,14,5,0.025,0.08,0.0032,0.593
1.3,3.7,5,15,5,0.025,0.0325,0.0013,0.495
2.6,2.4,5,16,5,0.025,0.065,0.0026,0.575
0.9,4.1,5,17,5,0.025,0.0225,0.0009,0.373
0.1,4.9,5,18,5,0.025,0.0025,0.0001,0.273
0.8,4.2,5,19,5,0.025,0.02,0.0008,0.31
0.5,4.5,5,20,5,0.025,0.0125,0.0005,0.26
1.6,3.4,5,21,5,0.025,0.04,0.0016,0.462
5,0,5,22,5,0.025,0.125,0.005,0.529
1,4,5,23,5,0.025,0.025,0.001,0.197
4,1,5,24,5,0.025,0.1,0.004,0.524
