GPR_Forever,,,,,,,,,,,,,,,,,,,,
run,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
1,0.48687004,0.455518182,0.781366224,0.51732573,0.591800392,0.52326842,0.629779386,0.448165631,0.422776851,0.800163595,0.329989783,0.037937666,0.851436436,0.572048842,0.438581544,0.621753157,0.430977829,0.48446908,0.46857095,0.465314449
2,0.48687004,0.455518182,0.781366224,0.51732573,0.591800392,0.52326842,0.623633991,0.448165631,0.422776851,0.839367901,0.28492251,0.043909578,0.851436436,0.572048842,0.438581544,0.621753157,0.430977829,0.48446908,0.46857095,0.465314449
3,0.48687004,0.455518182,0.781366224,0.51732573,0.591800392,0.52326842,0.641064369,0.448165631,0.422776851,0.6742029,0.366092451,0.036197956,0.851436436,0.572048842,0.438581544,0.621753157,0.430977829,0.48446908,0.46857095,0.465314449
4,0.48687004,0.455518182,0.781366224,0.51732573,0.591800392,0.52326842,0.644016373,0.448165631,0.422776851,0.924162143,0.368145501,0.0407608,0.851436436,0.572048842,0.438581544,0.621753157,0.430977829,0.48446908,0.46857095,0.465314449
5,0.48687004,0.455518182,0.781366224,0.51732573,0.591800392,0.52326842,0.635155981,0.448165631,0.422776851,0.738799565,0.269625328,0.045147862,0.851436436,0.572048842,0.438581544,0.621753157,0.430977829,0.48446908,0.46857095,0.465314449
6,0.48687004,0.455518182,0.781366224,0.51732573,0.591800392,0.52326842,0.642455099,0.448165631,0.422776851,0.865384629,0.386999979,0.038050035,0.851436436,0.572048842,0.438581544,0.621753157,0.430977829,0.48446908,0.46857095,0.465314449
7,0.48687004,0.455518182,0.781366224,0.51732573,0.591800392,0.52326842,0.633567253,0.448165631,0.422776851,0.907613254,0.2850291,0.032842154,0.851436436,0.572048842,0.438581544,0.621753157,0.430977829,0.48446908,0.46857095,0.465314449
8,0.48687004,0.455518182,0.781366224,0.51732573,0.591800392,0.52326842,0.632255144,0.448165631,0.422776851,0.68641724,0.309311248,0.047969354,0.851436436,0.572048842,0.438581544,0.621753157,0.430977829,0.48446908,0.46857095,0.465314449
9,0.48687004,0.455518182,0.781366224,0.51732573,0.591800392,0.52326842,0.63066056,0.448165631,0.422776851,0.655394511,0.250848669,0.031316038,0.851436436,0.572048842,0.438581544,0.621753157,0.430977829,0.48446908,0.46857095,0.465314449
10,0.48687004,0.455518182,0.781366224,0.51732573,0.591800392,0.52326842,0.623255664,0.448165631,0.422776851,0.950800969,0.43077808,0.049069878,0.851436436,0.572048842,0.438581544,0.621753157,0.430977829,0.48446908,0.46857095,0.465314449
11,0.48687004,0.455518182,0.781366224,0.51732573,0.591800392,0.52326842,0.631392663,0.448165631,0.422776851,0.80106407,0.307728171,0.051265629,0.851436436,0.572048842,0.438581544,0.621753157,0.430977829,0.48446908,0.46857095,0.465314449
12,0.48687004,0.455518182,0.781366224,0.51732573,0.591800392,0.52326842,0.603851302,0.448165631,0.422776851,0.815510435,0.292423337,0.081014017,0.851436436,0.572048842,0.438581544,0.621753157,0.430977829,0.48446908,0.46857095,0.465314449
13,0.48687004,0.455518182,0.528274402,0.51732573,0.591800392,0.52326842,0.631392663,0.448165631,0.422776851,0.908042179,0.764806688,0.10980146,0.674377778,0.572048842,0.438581544,0.711792179,0.430977829,0.48446908,0.46857095,0.465314449
14,0.48687004,0.455518182,0.528274402,0.51732573,0.591800392,0.52326842,0.639646035,0.448165631,0.422776851,0.913906624,0.769990948,0.104713127,0.674377778,0.572048842,0.438581544,0.711792179,0.430977829,0.48446908,0.46857095,0.465314449
15,0.48687004,0.455518182,0.486176434,0.51732573,0.591800392,0.52326842,0.631392663,0.448165631,0.422776851,0.955317446,0.780641288,0.136901213,0.668035677,0.572048842,0.438581544,0.439780507,0.430977829,0.48446908,0.46857095,0.465314449
16,0.48687004,0.455518182,0.486176434,0.51732573,0.591800392,0.52326842,0.627829627,0.448165631,0.422776851,0.972596814,0.802244515,0.111155388,0.668035677,0.572048842,0.438581544,0.439780507,0.430977829,0.48446908,0.46857095,0.465314449
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,
